date,mxn_close,score,wsum,band,s_vix,s_mxn,s_spx,s_carry,s_mxnvol,s_move,s_btc,s_curve,s_gold,r_vix,r_mxn,r_spx,r_carry,r_mxnvol,r_move,r_btc,r_curve,r_gold
2005-05-05,10.948,64,83,CONSTRUCTIVE,70.682,72.573,41.213,,75.087,66.120,,74.000,39.614,13.98000,-0.34589,-0.25688,,4.88782,82.98000,,0.61000,0.18648
2005-05-06,10.9455,64,83,CONSTRUCTIVE,70.318,51.616,46.250,,75.719,70.027,,70.000,87.504,14.05000,-0.02284,-0.10916,,4.76093,78.40000,,0.55000,-0.86086
2005-05-09,10.9715,62,83,CONSTRUCTIVE,71.859,33.988,70.688,,75.945,69.779,,68.667,48.652,13.75000,0.23754,0.63943,,4.71496,78.70000,,0.53000,0.02347
2005-05-10,11.02,48,83,DEFENSIVE,65.645,22.807,19.889,,75.064,69.613,,69.333,36.619,14.91000,0.44205,-1.07054,,4.89247,78.90000,,0.54000,0.23463
2005-05-11,11.03,62,83,CONSTRUCTIVE,68.190,43.776,63.314,,75.581,66.102,,68.667,50.000,14.45000,0.09074,0.41930,,4.78868,83.00000,,0.53000,0.00000
2005-05-12,10.996,60,83,CONSTRUCTIVE,58.540,69.833,22.244,,76.682,66.829,,68.000,95.309,16.12000,-0.30825,-1.00332,,4.56290,82.17000,,0.52000,-1.31086
2005-05-13,11.021,53,83,CONSTRUCTIVE,57.322,35.207,35.739,,77.147,62.405,,67.333,67.095,16.32000,0.22736,-0.45801,,4.46523,87.10000,,0.51000,-0.33207
2005-05-16,11.033,63,83,CONSTRUCTIVE,61.183,42.581,77.870,,77.052,61.106,,68.000,65.458,15.68000,0.10888,1.00861,,4.48531,88.50000,,0.52000,-0.30938
2005-05-17,10.9942,69,83,RISK-ON,67.535,72.425,70.930,,77.634,64.590,,67.333,43.632,14.57000,-0.35167,0.69573,,4.36153,84.70000,,0.51000,0.11936
2005-05-18,10.961,70,83,RISK-ON,72.462,69.619,77.475,,78.348,67.651,,67.333,26.220,13.63000,-0.30198,1.00188,,4.20655,81.22000,,0.51000,0.50072
2005-05-19,10.9305,70,83,RISK-ON,73.981,68.192,64.495,,78.078,71.015,,64.667,62.015,13.32000,-0.27826,0.46559,,4.26545,77.19000,,0.47000,-0.23725
2005-05-20,10.972,58,83,CONSTRUCTIVE,74.838,26.654,45.175,,77.055,71.490,,62.667,81.405,13.14000,0.37967,-0.15112,,4.48479,76.60000,,0.44000,-0.73722
2005-05-23,10.9575,67,83,CONSTRUCTIVE,75.722,58.719,62.756,,76.987,73.632,,61.333,59.247,12.95000,-0.13215,0.38510,,4.49909,73.86000,,0.42000,-0.19166
2005-05-24,10.982,59,83,CONSTRUCTIVE,76.897,35.523,50.594,,76.783,73.662,,62.000,39.199,12.69000,0.22359,0.01759,,4.54189,73.82000,,0.43000,0.21603
2005-05-25,10.9385,65,83,CONSTRUCTIVE,77.382,74.062,38.716,,76.011,73.479,,64.667,34.449,12.58000,-0.39610,-0.34001,,4.70138,74.06000,,0.47000,0.31137
2005-05-26,10.9685,64,83,CONSTRUCTIVE,78.835,32.976,69.726,,76.389,74.582,,62.667,60.106,12.24000,0.27426,0.63949,,4.62362,72.60000,,0.44000,-0.19102
2005-05-27,10.885,71,83,RISK-ON,79.208,87.747,53.266,,73.707,73.716,,62.667,28.415,12.15000,-0.76127,0.09686,,5.15794,73.75000,,0.44000,0.43062
2005-05-31,10.9125,57,83,CONSTRUCTIVE,74.125,34.176,31.427,,73.263,72.753,,60.000,84.476,13.29000,0.25264,-0.60729,,5.24289,75.00000,,0.40000,-0.83373
2005-06-01,10.845,75,83,RISK-ON,78.330,83.269,75.751,,72.523,69.421,,60.667,61.976,12.36000,-0.61856,0.89970,,5.38255,79.13000,,0.41000,-0.24021
2005-06-02,10.8125,65,83,CONSTRUCTIVE,80.455,68.460,55.851,,72.268,68.045,,58.000,2.599,11.84000,-0.29968,0.17219,,5.42999,80.76000,,0.37000,1.78185
2005-06-03,10.824,57,83,CONSTRUCTIVE,79.208,43.064,29.538,,72.528,69.613,,60.667,38.199,12.15000,0.10636,-0.68671,,5.38157,78.90000,,0.41000,0.23657
2005-06-06,10.8825,55,83,CONSTRUCTIVE,78.668,20.001,54.242,,70.920,69.994,,58.000,20.686,12.28000,0.54047,0.12458,,5.67716,78.44000,,0.37000,0.66084
2005-06-07,10.86,66,83,CONSTRUCTIVE,78.202,63.246,49.314,,70.734,70.470,,56.667,69.225,12.39000,-0.20675,-0.02088,,5.71072,77.86000,,0.35000,-0.39860
2005-06-08,10.838,63,83,CONSTRUCTIVE,76.852,63.296,42.401,,71.083,66.138,,56.667,51.196,12.70000,-0.20258,-0.21632,,5.64756,82.96000,,0.35000,-0.02353
2005-06-09,10.8725,61,83,CONSTRUCTIVE,79.495,30.244,68.307,,71.757,67.960,,56.000,56.531,12.08000,0.31832,0.52399,,5.52454,80.86000,,0.34000,-0.11773
2005-06-10,10.868,59,83,CONSTRUCTIVE,79.979,52.766,41.521,,71.907,66.515,,56.000,16.437,11.96000,-0.04139,-0.23482,,5.49693,82.53000,,0.34000,0.75436
2005-06-13,10.8725,62,83,CONSTRUCTIVE,81.191,47.260,58.212,,72.220,68.242,,58.667,28.821,11.65000,0.04141,0.22619,,5.43901,80.53000,,0.38000,0.44455
2005-06-14,10.8399,70,83,RISK-ON,80.651,69.204,60.321,,72.414,68.547,,61.333,70.114,11.79000,-0.29984,0.25733,,5.40283,80.17000,,0.42000,-0.41928
2005-06-15,10.8305,65,83,CONSTRUCTIVE,81.906,55.828,59.483,,72.644,72.566,,60.000,31.839,11.46000,-0.08672,0.22177,,5.35976,75.24000,,0.40000,0.37427
2005-06-16,10.7929,69,83,RISK-ON,83.026,72.209,66.013,,72.659,73.981,,59.333,3.018,11.15000,-0.34717,0.36301,,5.35698,73.40000,,0.39000,1.65463
2005-06-17,10.785,67,83,CONSTRUCTIVE,81.832,55.286,71.174,,72.963,74.730,,58.000,26.837,11.48000,-0.07320,0.49547,,5.29984,72.40000,,0.37000,0.48142
2005-06-20,10.83,57,83,CONSTRUCTIVE,81.869,24.061,46.782,,71.837,74.879,,59.333,48.812,11.47000,0.41725,-0.07067,,5.50974,72.20000,,0.39000,0.02282
2005-06-21,10.7905,67,83,CONSTRUCTIVE,83.272,73.402,40.747,,72.474,73.906,,56.667,44.088,11.08000,-0.36473,-0.20475,,5.39170,73.50000,,0.35000,0.11405
2005-06-22,10.7585,68,83,RISK-ON,83.376,69.538,51.047,,72.204,71.023,,55.333,59.380,11.05000,-0.29656,0.02225,,5.44202,77.18000,,0.33000,-0.18227
2005-06-23,10.788,49,83,DEFENSIVE,79.290,31.849,11.771,,71.993,71.562,,55.333,14.973,12.13000,0.27420,-1.08331,,5.48106,76.51000,,0.33000,0.82173
2005-06-24,10.7638,61,83,CONSTRUCTIVE,79.084,65.909,21.069,,72.486,71.968,,55.333,63.712,12.18000,-0.22432,-0.76287,,5.38946,76.00000,,0.33000,-0.27168
2005-06-27,10.8089,56,83,CONSTRUCTIVE,77.643,23.823,46.572,,71.730,73.141,,53.333,52.397,12.52000,0.41900,-0.07385,,5.52951,74.50000,,0.30000,-0.04541
2005-06-28,10.8415,67,83,CONSTRUCTIVE,81.457,31.188,82.949,,74.217,72.205,,54.667,86.663,11.58000,0.30160,0.91376,,5.05916,75.70000,,0.32000,-0.88576
2005-06-29,10.756,70,83,RISK-ON,80.729,89.765,44.129,,71.282,71.337,,56.000,50.000,11.77000,-0.78864,-0.14314,,5.61153,76.79000,,0.34000,0.00000
2005-06-30,10.772,56,83,CONSTRUCTIVE,79.657,39.901,25.483,,73.051,72.284,,52.000,55.989,12.04000,0.14875,-0.71009,,5.28318,75.60000,,0.28000,-0.11457
2005-07-01,10.737,72,83,RISK-ON,82.127,71.184,60.019,,72.962,69.654,,53.333,97.767,11.40000,-0.32492,0.26105,,5.30001,78.85000,,0.30000,-1.85823
2005-07-05,10.755,68,83,RISK-ON,81.077,38.852,81.087,,72.832,70.068,,54.667,90.014,11.68000,0.16764,0.88326,,5.32448,78.35000,,0.32000,-1.14539
2005-07-06,10.7715,54,83,CONSTRUCTIVE,78.709,39.486,21.586,,74.732,63.149,,54.000,43.019,12.27000,0.15342,-0.83404,,4.95828,86.29000,,0.31000,0.14188
2005-07-07,10.801,59,83,CONSTRUCTIVE,77.773,31.819,59.968,,74.297,61.712,,56.000,52.337,12.49000,0.27387,0.24521,,5.04360,87.85000,,0.34000,-0.04723
2005-07-08,10.744,77,83,RISK-ON,81.943,81.283,88.141,,72.928,68.590,,55.333,54.947,11.45000,-0.52773,1.16791,,5.30640,80.12000,,0.33000,-0.09449
2005-07-11,10.701,71,83,RISK-ON,82.563,75.863,74.868,,73.083,66.164,,53.333,21.558,11.28000,-0.40022,0.62548,,5.27715,82.93000,,0.30000,0.61480
2005-07-12,10.689,66,83,CONSTRUCTIVE,83.719,57.954,59.879,,73.083,67.771,,55.333,40.252,10.95000,-0.11214,0.22716,,5.27714,81.08000,,0.33000,0.18801
2005-07-13,10.6922,65,83,CONSTRUCTIVE,84.091,47.761,54.148,,73.099,67.419,,55.333,76.544,10.84000,0.02994,0.08837,,5.27400,81.49000,,0.33000,-0.56298
2005-07-14,10.636,75,83,RISK-ON,84.191,82.830,62.554,,72.170,71.594,,55.333,89.388,10.81000,-0.52562,0.26240,,5.44820,76.47000,,0.33000,-1.01439
2005-07-15,10.6175,67,83,CONSTRUCTIVE,85.723,62.732,55.776,,72.128,70.764,,54.667,35.330,10.33000,-0.17394,0.11578,,5.45594,77.50000,,0.32000,0.26216
2005-07-18,10.5855,64,83,CONSTRUCTIVE,84.324,71.142,24.535,,72.261,71.474,,55.333,52.838,10.77000,-0.30139,-0.55297,,5.43143,76.62000,,0.33000,-0.04754
2005-07-19,10.62,65,83,CONSTRUCTIVE,85.352,28.240,79.400,,71.228,70.829,,54.667,61.227,10.45000,0.32592,0.67314,,5.62130,77.42000,,0.32000,-0.19025
2005-07-20,10.6565,62,83,CONSTRUCTIVE,86.027,28.297,72.784,,71.641,73.403,,51.333,24.994,10.23000,0.34369,0.47586,,5.54577,74.16000,,0.27000,0.47653
2005-07-21,10.591,63,83,CONSTRUCTIVE,83.651,84.693,20.333,,70.390,69.944,,54.667,11.677,10.97000,-0.61465,-0.66061,,5.77249,78.50000,,0.32000,0.87740
2005-07-22,10.631,63,83,CONSTRUCTIVE,85.132,25.900,74.737,,69.467,72.331,,54.000,59.752,10.52000,0.37768,0.54114,,5.93604,75.54000,,0.31000,-0.16455
2005-07-25,10.6705,54,83,CONSTRUCTIVE,83.202,26.444,31.962,,69.025,72.150,,53.333,36.229,11.10000,0.37155,-0.37692,,6.01337,75.77000,,0.30000,0.23546
2005-07-26,10.696,63,83,CONSTRUCTIVE,83.583,35.137,58.862,,68.760,73.472,,52.667,79.400,10.99000,0.23898,0.17331,,6.05954,74.07000,,0.29000,-0.54029
2005-07-27,10.6375,73,83,RISK-ON,85.631,80.265,72.017,,68.626,73.693,,52.000,32.320,10.36000,-0.54693,0.45729,,6.08275,73.78000,,0.28000,0.30704
2005-07-28,10.616,69,83,RISK-ON,85.132,63.304,75.300,,69.456,74.649,,49.333,18.638,10.52000,-0.20212,0.56032,,5.93795,72.51000,,0.24000,0.61219
2005-07-29,10.5995,57,83,CONSTRUCTIVE,81.495,60.538,17.691,,72.473,72.909,,50.667,18.774,11.57000,-0.15543,-0.76705,,5.39187,74.80000,,0.26000,0.60847
2005-08-01,10.598,62,83,CONSTRUCTIVE,79.495,50.928,54.883,,72.759,71.554,,52.000,24.748,12.08000,-0.01415,0.09479,,5.33815,76.52000,,0.28000,0.46522
2005-08-02,10.598,68,83,RISK-ON,80.807,50.000,80.413,,73.140,71.329,,52.000,50.000,11.75000,0.00000,0.70992,,5.26618,76.80000,,0.28000,0.00000
